"Abundance";"Amplitude";"Phenology";"Diff"
"1";11.8991128771113;14.0502584649548;5;30.9493713420661
"2";11.6989573516151;13.9663820967374;6;31.6653394483526
"3";11.9563919570092;14.1702700060557;6;32.1266619630649
"4";11.7690835789337;14.0384322419777;6;31.8075158209115
"5";11.9158173709019;14.0557987057355;6;31.9716160766375
"6";11.8027867238212;13.9773282316423;5;30.7801149554635
"7";11.7484865028948;14.1050067390014;6;31.8534932418962
"8";11.7399289572835;14.1126090113796;6;31.852537968663
"9";11.850258349317;14.0921160370295;6;31.9423743863465
"10";11.9948673598816;14.2530110898246;6;32.2478784497061
"11";11.6473257301155;14.014254131856;6;31.6615798619714
"12";11.7948789287847;14.035101294111;6;31.8299802228957
"13";12.0035980608343;14.056098277503;6;32.0596963383373
"14";11.7087651142029;13.9135691154496;6;31.6223342296525
"15";11.8949911160595;14.117068055417;6;32.0120591714765
"16";11.8564885324027;14.0532181157377;6;31.9097066481404
"17";12.0746414799847;14.1669054945815;6;32.2415469745662
"18";11.5729497185351;14.0170523779521;6;31.5900020964871
"19";12.0968797294684;13.9953653487012;6;32.0922450781696
"20";11.8128402532913;14.1615783480089;6;31.9744186013002
"21";11.9390965305625;14.1937725766663;6;32.1328691072289
"22";12.147264348776;14.2175622578458;5;31.3648266066218
"23";11.9611844273697;14.1241882820637;5;31.0853727094335
"24";12.0774574612503;14.2322716230434;5;31.3097290842937
"25";11.6673008821427;14.1661652467384;6;31.8334661288811
"26";12.1566586409923;14.3388419740527;5;31.495500615045
"27";11.8752748031772;14.1016981652409;6;31.9769729684181
"28";11.6319741922715;14.2440849543196;6;31.8760591465911
"29";11.6407595906812;13.9029396433273;6;31.5436992340085
"30";11.9168650906116;14.0173498692758;6;31.9342149598874
"31";11.7570770547408;14.1335869630849;6;31.8906640178257
"32";11.9177316124636;14.1265991501833;5;31.0443307626469
"33";11.8200562862979;14.2589119191577;5;31.0789682054556
"34";12.0601849132146;14.1906943614354;5;31.25087927465
"35";11.7073561100641;14.0389340626428;6;31.7462901727069
"36";12.1131864319567;14.3036403543136;5;31.4168267862703
"37";12.0966557769605;14.1700694475556;6;32.2667252245161
"38";11.7895148315767;14.0482423294997;6;31.8377571610764
"39";12.0804881360171;14.0818889284086;6;32.1623770644257
"40";11.7515543514561;13.9098509998502;5;30.6614053513063
"41";12.0028410223137;14.0887182867046;5;31.0915593090182
"42";11.8534986096374;13.8690435619247;6;31.722542171562
"43";12.0617192751778;14.006382011239;6;32.0681012864168
"44";11.8032093454251;14.0921778763999;6;31.895387221825
"45";11.78225543726;13.8920119202211;6;31.6742673574811
"46";11.6765693871553;13.9607365995023;6;31.6373059866577
"47";11.9278608967492;14.2005630393428;6;32.1284239360921
"48";12.1128915070843;14.1636472494057;6;32.27653875649
"49";11.9487024317932;14.093904832943;6;32.0426072647362
"50";11.9918445070869;14.0542464889423;6;32.0460909960291
"51";11.8546509156826;14.2107608831596;6;32.0654117988422
"52";11.8748531980286;14.0596468504104;6;31.934500048439
"53";11.7059004674514;14.0687969210935;6;31.7746973885449
"54";11.9921567860747;14.059245115687;6;32.0514019017617
"55";11.9853867371426;13.9101375331555;6;31.8955242702981
"56";11.6713103017806;13.9790245484568;6;31.6503348502374
"57";11.8196453088345;14.0685208229355;6;31.8881661317699
"58";11.9518034698133;14.02132595641;5;30.9731294262234
"59";11.8054038805613;14.0188561589531;6;31.8242600395144
"60";11.7953515561361;14.1336474327087;6;31.9289989888448
"61";11.7850412106917;14.0872945076029;6;31.8723357182947
"62";11.7348703690517;14.1218635697858;6;31.8567339388375
"63";12.0218773816865;14.1318803313815;5;31.1537577130681
"64";11.8367753456243;13.9896392655207;6;31.8264146111449
"65";11.735822858504;13.9280967409173;6;31.6639195994214
"66";11.8484034985488;14.2515391607441;6;32.0999426592928
"67";11.6860010176006;13.9728381979597;6;31.6588392155604
"68";11.7686108818579;14.0424404740729;6;31.8110513559308
"69";12.2060658609176;14.1454718624252;5;31.3515377233428
"70";11.8089285865523;13.9265180598073;6;31.7354466463597
"71";11.7727903940415;13.9769428417487;6;31.7497332357902
"72";11.8911147584724;14.0090266056857;6;31.9001413641581
"73";11.8022424385344;14.0467775508703;6;31.8490199894047
"74";12.0700861652349;14.1085454734291;5;31.178631638664
"75";11.6911819130247;14.0882093000006;6;31.7793912130252
"76";11.9787225022764;14.1309198481513;6;32.1096423504277
"77";11.9278008792434;14.0217434964343;6;31.9495443756777
"78";12.0395038788681;14.2442039737877;6;32.2837078526557
"79";11.9234269470803;14.3165154675967;6;32.239942414677
"80";11.8270780210395;14.0335170113414;5;30.8605950323809
"81";12.0971320594498;14.2664908826192;5;31.363622942069
"82";11.9314405097772;13.9500084056451;6;31.8814489154223
"83";11.7504669591877;14.0932786012846;6;31.8437455604723
